# id	left	top	right	bottom	texture_id
[SPRITES]
#####  BIG ###############
#IDLE
11121	246	153	260	181	0
11111	186	153	200	181	0

#WALKING RIGHT
11222	275	153	291	181	0
11223	304	153	322	181	0

#WALKING LEFT
11212	155	153	171	181	0
11213	125	153	141	181	0

#RUNNING RIGHT
11321	334	153	356	181	0
11322	334	153	356	181	0
11323	392	153	414	181	0

#RUNNING LEFT
11311	91	153	113	181	0
11312	65	153	87	181	0
11313	34	153	56	181	0

#JUMP WALK RIGHT
11417	395	274	413	302	0
11413	35	274	53	302	0

#JUMP RUN RIGHT & LEFT
11427	394	194	414	222	0
11423	35	194	53	222	0

#SIT RIGHT & LEFT 
11521	426	238	442	256	0
11511	5	238	21	256	0

#BRACE RIGHT & LEFT 
11621	425	153	441	181	0
11611	5	153	23	181	0

#DIE
13001	215	119	234	137	0

# HOLDING KOOPAS
#IDLE RIGHT
11612	336	234	350	261	0
#IDLE LEFT
11613	96	234	110	261	0
#WALKING RIGHT 1
11614	276	314	291	341	0
#WALKING RIGHT 2
11615	305	315	321	341	0
#WALKING LEFT 1
11616	155	314	170	341	0
#WALKING LEFT 2
11617	125	315	141	341	0

# KICK KOOPAS RIGHT
11618	423	274	444	301	0
# KICK KOOPAS LEFT
11619	2	274	23	301	0

#####  TAIL ###############
#IDLE
12151	211	443	233	471	1
12161	172	443	194	471	1

#WALKING RIGHT
12252	235	443	259	471	1
12253	262	443	284	471	1

#WALKING LEFT
12262	146	443	170	471	1
12263	122	443	144	471	1

#RUNNING RIGHT
12351	211	523	235	551	1
12352	251	523	275	551	1
12353	291	523	315	551	1

#RUNNING LEFT
12361	171	523	195	551	1
12362	131	523	155	551	1
12363	91	523	115	551	1

#JUMP RIGHT
12457	331	443	355	471	1
12458	211	603	235	631	1

#JUMP LEFT
12467	52	443	76	471	1
12468	172	603	196	631	1


#JUMP RUN RIGHT 
2420	291	603	315	631	1
2421	331	603	357	631	1

#JUMP RUN LEFT
2422	91	603	115	631	1
2423	51	603	77	631	1

#SIT RIGHT & LEFT 
12551	372	448	394	466	1
12561	12	448	34	466	1

#BRACE RIGHT & LEFT 
12554	215	482	231	510	1
12564	175	482	191	510	1

# PIPING
12590	355	483	371	511	1

# KICKING
12691	252	283	274	311	1
12692	133	283	155	311	1

#RACOON-ATTACK-RIGHT-LEFT
14028	45	1407	75	1437	2
